nb_ville,type_modification_temperature,type_mutation,temperature_initiale,temperature_finale,alpha,amplitude,max_repetition,temperature_fin_exec,cout,temps_execution
30,1,3,3796,0.016,0.95,7,1424,0.015,47.93,0.802
30,1,2,2074,0.011,0.983,7,797,0.011,48.66,0.623
30,1,3,4443,0.01,0.935,6,109,0.01,58.81,0.152
30,1,1,2713,0.012,0.904,5,121,0.011,59.65,0.055
30,1,2,1224,0.011,0.879,5,1862,0.01,47.67,0.185
30,1,2,4797,0.011,0.946,5,1939,0.011,48.66,0.465
30,1,3,843,0.016,0.978,3,2229,0.016,46.37,1.605
30,1,2,2023,0.011,0.971,7,1721,0.011,50.99,0.738
30,1,3,3770,0.019,0.88,3,2289,0.018,46.37,0.386
30,1,2,3842,0.011,0.913,6,1069,0.01,51.09,0.198
30,1,2,902,0.011,0.902,3,2477,0.011,49.31,0.251
30,1,2,2880,0.015,0.963,6,1450,0.015,48.18,0.528
30,1,3,1677,0.012,0.946,7,633,0.012,51.63,0.344
30,1,3,802,0.011,0.913,6,1563,0.01,49.24,0.402
30,1,2,4781,0.014,0.867,3,678,0.013,51.64,0.081
30,1,3,1392,0.014,0.857,4,519,0.013,51.68,0.116
30,1,3,1295,0.014,0.935,5,1332,0.013,48.45,0.432
30,1,2,4397,0.014,0.887,3,671,0.013,49.93,0.113
30,1,1,2212,0.012,0.979,6,815,0.012,50.52,0.447
30,1,1,3451,0.013,0.873,4,2201,0.013,46.37,0.161
30,1,3,4044,0.016,0.891,7,917,0.016,50.89,0.239
30,1,1,1659,0.016,0.858,3,2303,0.015,49.84,0.157
30,1,3,1150,0.018,0.988,4,1988,0.018,46.37,2.918
30,1,2,2876,0.018,0.899,5,1373,0.017,51.42,0.169
30,1,1,3016,0.011,0.863,4,1183,0.011,52.6,0.107
30,1,2,4669,0.011,0.899,6,338,0.011,55.01,0.06
30,1,1,1978,0.017,0.954,4,1077,0.017,53.9,0.25
30,1,1,1797,0.019,0.901,3,819,0.019,53.28,0.072
30,1,1,3178,0.019,0.885,4,1975,0.018,51.83,0.144
30,1,1,4467,0.013,0.961,7,1456,0.013,49.76,0.396
30,1,2,1749,0.012,0.941,4,264,0.012,51.54,0.114
30,1,3,3659,0.017,0.972,4,436,0.017,50.1,0.363
30,1,3,3967,0.013,0.934,4,2272,0.013,47.43,0.662
30,1,1,2263,0.012,0.999,4,334,0.012,49.45,5.3
30,1,3,3715,0.018,0.981,7,1529,0.018,46.77,2.046
30,1,2,4083,0.019,0.953,7,1904,0.018,49.06,0.434
30,1,1,1711,0.01,0.913,3,858,0.009,52.34,0.101
30,1,3,817,0.016,0.888,5,1884,0.015,48.57,0.329
30,1,1,2058,0.01,0.951,7,232,0.01,59.06,0.092
30,1,2,3644,0.019,0.962,7,687,0.019,52.23,0.246
30,1,3,2425,0.013,0.91,7,230,0.013,57.76,0.087
30,1,3,1431,0.011,0.85,4,306,0.01,59.19,0.058
30,1,1,1509,0.016,0.909,7,1505,0.015,53.68,0.155
30,1,3,2821,0.01,0.993,4,1181,0.01,48.08,3.508
30,1,1,4881,0.018,0.997,4,409,0.018,50.36,1.812
30,1,1,4540,0.012,0.881,3,1524,0.011,48.8,0.13
30,1,3,3608,0.014,0.957,5,2281,0.014,49.49,1.118
30,1,2,1028,0.012,0.984,7,1334,0.012,48.66,0.892
30,1,2,1283,0.016,0.969,3,1631,0.016,47.53,0.491
30,1,1,3046,0.019,0.889,7,805,0.019,56.5,0.109
30,1,1,1774,0.018,0.989,7,377,0.018,58.54,0.554
30,1,3,1602,0.017,0.851,6,298,0.017,59.94,0.069
30,1,3,2345,0.017,0.955,6,1324,0.016,47.36,0.678
30,1,1,4386,0.015,0.883,4,1289,0.013,53.04,0.119
30,1,3,1096,0.017,0.956,5,282,0.016,53.87,0.223
30,1,3,2637,0.013,0.934,7,2381,0.013,47.42,0.954
30,1,2,3736,0.017,0.858,5,1903,0.015,51.73,0.15
30,1,1,3101,0.016,0.94,4,1725,0.016,51.16,0.283
30,1,1,3310,0.019,0.988,6,472,0.019,53.13,0.573
30,1,3,2592,0.018,0.887,6,260,0.016,58.99,0.103
30,1,1,2382,0.019,0.915,5,252,0.018,53.68,0.085
30,1,3,4760,0.01,0.937,4,473,0.01,46.37,0.229
30,1,3,3951,0.01,0.963,6,2296,0.01,47.91,1.588
30,1,2,855,0.013,0.934,7,2396,0.013,48.08,0.429
30,1,1,2485,0.013,0.911,6,782,0.012,52.63,0.109
30,1,3,2035,0.011,0.887,6,1476,0.01,48.21,0.369
30,1,1,1846,0.02,0.876,4,1512,0.018,53.0,0.118
30,1,3,4624,0.01,0.909,7,1311,0.01,51.46,0.434
30,1,1,4086,0.012,0.929,4,1273,0.012,54.04,0.227
30,1,1,956,0.016,0.859,3,290,0.015,51.78,0.052
30,1,2,2501,0.01,0.958,3,2419,0.01,48.49,0.681
30,1,2,4144,0.012,0.875,5,748,0.011,49.01,0.088
30,1,1,3541,0.014,0.87,7,491,0.013,52.98,0.074
30,1,2,1278,0.01,0.943,7,440,0.01,51.99,0.167
30,1,1,4167,0.012,0.878,6,1021,0.011,61.05,0.125
30,1,2,4462,0.014,0.936,7,1338,0.014,49.32,0.313
30,1,3,4231,0.018,0.911,3,572,0.017,50.04,0.176
30,1,3,1374,0.01,0.885,6,759,0.01,51.71,0.183
30,1,3,4864,0.01,0.943,7,1849,0.009,49.76,0.946
30,1,1,3749,0.014,0.971,3,1136,0.014,46.37,0.479
30,1,3,840,0.02,0.98,4,2261,0.02,46.37,2.056
30,1,1,899,0.018,0.983,7,1580,0.018,51.32,0.926
30,1,2,3342,0.014,0.852,3,392,0.013,51.14,0.074
30,1,3,3419,0.012,0.957,4,395,0.012,47.43,0.32
30,1,2,867,0.011,0.891,7,1506,0.011,49.14,0.209
30,1,3,2140,0.018,0.98,6,2356,0.018,46.37,2.958
30,1,1,3847,0.019,0.899,6,1251,0.019,55.42,0.169
30,1,1,2012,0.019,0.86,3,1546,0.018,56.03,0.129
30,1,2,3821,0.014,0.984,3,441,0.014,49.67,0.607
30,1,1,3237,0.015,0.948,3,659,0.015,52.0,0.231
30,1,2,1030,0.014,0.956,3,2147,0.013,47.93,0.525
30,1,2,2207,0.014,0.92,5,439,0.013,53.27,0.12
30,1,3,1894,0.011,0.985,3,658,0.011,46.37,1.083
30,1,2,2069,0.015,0.912,4,967,0.014,50.75,0.141
30,1,2,3302,0.011,0.876,3,450,0.01,50.7,0.068
30,1,1,4257,0.012,0.968,4,1059,0.012,50.75,0.395
30,1,3,4372,0.016,0.916,7,1081,0.016,50.79,0.385
30,1,1,2711,0.013,0.888,7,1746,0.012,55.87,0.179
30,1,3,3778,0.02,0.913,3,702,0.019,49.66,0.204
30,1,2,3015,0.013,0.937,6,1931,0.013,49.51,0.453
30,1,2,1999,0.019,0.996,7,2042,0.019,48.14,5.849
30,1,2,1741,0.02,0.888,6,542,0.019,51.33,0.158
30,1,2,3054,0.017,0.937,3,481,0.017,50.83,0.2
30,1,3,4921,0.018,0.967,4,2170,0.017,46.37,1.477
30,1,3,3370,0.017,0.891,3,2025,0.016,47.53,0.317
30,1,1,1896,0.019,0.984,7,561,0.019,49.9,0.51
30,1,3,4204,0.017,0.962,7,2204,0.017,46.96,1.694
30,1,2,3831,0.013,0.858,4,1445,0.012,52.88,0.143
30,1,3,1467,0.012,0.973,7,641,0.012,46.37,0.755
30,1,1,3977,0.014,0.907,4,596,0.014,52.58,0.109
30,1,3,2786,0.011,0.927,6,250,0.01,56.8,0.142
30,1,3,1000,0.018,0.976,4,1415,0.018,47.43,1.24
30,1,2,2982,0.015,0.856,7,2247,0.014,52.5,0.199
30,1,2,3090,0.016,0.949,4,2302,0.016,49.89,0.533
30,1,1,3450,0.019,0.89,6,1622,0.019,55.5,0.167
30,1,3,1186,0.014,0.888,7,2259,0.013,51.71,0.49
30,1,1,2981,0.016,0.944,5,1464,0.016,54.16,0.276
30,1,1,1533,0.019,0.887,7,429,0.017,54.99,0.064
30,1,2,1596,0.011,0.865,3,697,0.011,52.66,0.068
30,1,3,4835,0.019,0.988,5,324,0.019,46.96,0.751
30,1,1,3484,0.019,0.997,5,264,0.019,51.18,1.293
30,1,3,3487,0.016,0.935,6,1376,0.016,48.66,0.522
30,1,1,4719,0.016,0.925,5,1041,0.015,49.78,0.163
30,1,1,1751,0.018,0.867,5,1546,0.017,48.67,0.128
30,1,2,3437,0.014,0.983,7,1788,0.014,46.77,1.166
30,1,2,3732,0.017,0.973,3,1130,0.017,47.02,0.502
30,1,2,1290,0.016,0.897,5,544,0.016,53.08,0.121
30,1,2,2474,0.02,0.922,5,335,0.019,55.96,0.129
30,1,2,2385,0.01,0.896,5,585,0.01,51.33,0.102
30,1,3,3291,0.015,0.947,6,595,0.015,50.66,0.35
30,1,3,2001,0.016,0.905,6,2489,0.015,47.2,0.62
30,1,2,2895,0.017,0.874,3,1493,0.016,51.68,0.141
30,1,1,4819,0.018,0.92,4,599,0.018,56.79,0.132
30,1,3,4465,0.018,0.902,4,768,0.017,50.09,0.219
30,1,1,2145,0.013,0.985,5,1298,0.013,46.37,1.026
30,1,3,4090,0.012,0.873,4,108,0.012,60.7,0.073
30,1,3,2061,0.019,0.897,5,2091,0.018,47.61,0.427
30,1,3,4952,0.014,0.891,5,956,0.014,48.18,0.236
30,1,3,4625,0.011,0.909,7,1797,0.011,50.21,0.567
30,1,2,929,0.017,0.862,6,2009,0.016,47.02,0.164
30,1,1,920,0.019,0.868,6,1040,0.017,53.2,0.084
30,1,2,4177,0.015,0.916,5,741,0.015,52.18,0.169
30,1,1,894,0.015,0.856,6,545,0.014,58.5,0.069
30,1,1,4932,0.012,0.919,5,500,0.011,56.17,0.102
30,1,1,2084,0.02,0.985,3,1670,0.02,46.37,1.141
30,1,2,3486,0.019,0.971,7,692,0.019,52.55,0.398
30,1,1,2170,0.013,0.93,3,1130,0.013,52.6,0.174
30,1,2,1927,0.013,0.925,7,954,0.013,49.4,0.166
30,1,2,4054,0.014,0.93,4,2048,0.013,49.49,0.325
30,1,2,1344,0.01,0.921,3,1390,0.01,49.71,0.172
30,1,2,1484,0.012,0.859,3,1774,0.011,53.78,0.122
30,1,3,3045,0.013,0.875,7,1329,0.012,49.46,0.287
30,1,1,3927,0.016,0.984,7,2240,0.016,48.26,1.4
30,1,3,2863,0.017,0.991,5,2409,0.017,46.37,5.84
30,1,3,3284,0.014,0.989,3,455,0.014,46.37,0.835
30,1,2,2537,0.016,0.852,5,1751,0.015,50.44,0.125
30,1,1,4889,0.018,0.858,6,697,0.017,55.38,0.077
30,1,3,4020,0.011,0.851,6,502,0.01,54.29,0.102
30,1,3,3480,0.018,0.997,7,887,0.018,46.37,8.828
30,1,1,4932,0.017,0.879,4,749,0.016,55.68,0.079
30,1,2,1155,0.011,0.996,6,873,0.011,46.37,2.639
30,1,1,3658,0.013,0.898,4,1539,0.012,52.8,0.165
30,1,2,2969,0.017,0.9,4,2032,0.016,50.81,0.21
30,1,1,2070,0.018,0.878,4,1000,0.017,50.43,0.123
30,1,1,3502,0.019,0.951,4,122,0.018,57.71,0.164
30,1,1,4106,0.014,0.951,5,1042,0.014,50.64,0.247
30,1,2,3645,0.02,0.881,7,1255,0.019,51.75,0.14
30,1,1,1311,0.02,0.914,6,930,0.019,52.26,0.113
30,1,2,2241,0.017,0.965,5,2315,0.017,50.1,0.695
30,1,2,1255,0.012,0.874,7,1276,0.012,49.85,0.151
30,1,1,2243,0.015,0.88,3,869,0.014,56.52,0.11
30,1,2,2732,0.015,0.936,3,2003,0.014,50.58,0.365
30,1,3,2797,0.014,0.853,5,1427,0.013,48.83,0.22
30,1,1,1853,0.013,0.904,5,1186,0.012,59.7,0.123
30,1,1,4006,0.016,0.95,5,1810,0.015,51.67,0.367
30,1,2,3196,0.013,0.979,5,1805,0.013,48.08,0.948
30,1,1,1404,0.015,0.87,7,602,0.013,52.95,0.085
30,1,2,1845,0.019,0.9,7,1524,0.019,49.11,0.15
30,1,1,3014,0.013,0.954,7,188,0.013,56.17,0.064
30,1,1,1531,0.01,0.958,7,1903,0.01,52.26,0.424
30,1,3,4969,0.019,0.99,4,1297,0.019,46.37,2.753
30,1,1,3590,0.011,0.923,7,887,0.011,53.63,0.14
30,1,3,3512,0.02,0.876,5,1818,0.018,50.54,0.319
30,1,1,4437,0.017,0.991,3,1153,0.017,46.37,1.319
30,1,1,4304,0.013,0.917,3,1852,0.013,50.12,0.208
30,1,2,3697,0.012,0.94,5,1091,0.011,50.32,0.218
30,1,1,3891,0.016,0.869,6,235,0.015,51.74,0.08
30,1,1,2823,0.016,0.936,3,1266,0.016,54.66,0.239
30,1,3,3372,0.013,0.931,7,1980,0.012,50.32,0.752
30,1,1,4393,0.017,0.864,7,1851,0.015,52.19,0.157
30,1,2,4203,0.014,0.926,3,1601,0.013,49.74,0.244
30,1,3,2807,0.015,0.88,7,986,0.015,50.07,0.25
30,1,3,2768,0.015,0.934,5,2173,0.015,48.44,0.729
30,1,1,3535,0.011,0.945,4,907,0.01,51.9,0.205
30,1,2,2028,0.012,0.941,7,1988,0.012,53.92,0.385
30,1,1,3336,0.016,0.851,4,477,0.016,56.82,0.061
30,1,2,1805,0.015,0.911,6,323,0.014,57.36,0.08
30,1,1,968,0.017,0.92,4,2264,0.016,52.26,0.25
30,1,2,1991,0.012,0.934,5,2259,0.011,50.48,0.372
30,1,3,3785,0.011,0.976,4,778,0.011,47.78,0.718
30,1,2,2248,0.015,0.996,7,505,0.015,49.26,1.722
30,1,3,4751,0.01,0.995,7,2153,0.01,46.37,12.354
30,1,3,3836,0.016,0.955,6,740,0.015,49.32,0.474
30,1,2,1749,0.015,0.933,7,2183,0.014,50.15,0.352
30,1,1,2702,0.018,0.93,3,915,0.017,51.43,0.137
30,1,3,3391,0.014,0.98,7,2106,0.014,47.02,2.773
30,1,3,917,0.016,0.891,4,2175,0.016,48.93,0.356
30,1,2,3928,0.013,0.892,4,583,0.012,55.64,0.099
30,1,3,2578,0.015,0.889,4,314,0.014,53.71,0.078
30,1,3,3965,0.015,0.858,4,1596,0.014,50.91,0.253
30,1,2,1018,0.015,0.903,5,1486,0.014,51.24,0.17
30,1,1,2743,0.014,0.899,7,1096,0.013,52.39,0.149
30,1,1,4654,0.017,0.992,4,1947,0.017,50.26,2.488
30,1,2,3977,0.018,0.867,5,2163,0.016,51.32,0.174
30,1,3,3959,0.018,0.885,3,1328,0.017,47.43,0.231
30,1,2,3663,0.014,0.921,6,2131,0.014,49.67,0.313
30,1,2,2734,0.017,0.975,6,2254,0.017,48.73,0.941
30,1,3,3731,0.015,0.929,7,371,0.015,54.06,0.178
30,1,2,2159,0.012,0.95,6,680,0.012,50.92,0.175
30,1,3,4451,0.016,0.978,6,1930,0.016,46.37,2.182
30,1,1,3225,0.011,0.889,7,1799,0.011,55.73,0.191
30,1,2,1385,0.012,0.87,5,343,0.012,59.09,0.078
30,1,2,1084,0.019,0.988,3,2491,0.019,46.37,1.759
30,1,1,1566,0.015,0.958,6,438,0.015,52.35,0.176
30,1,1,3912,0.018,0.921,5,2136,0.017,55.24,0.286
30,1,1,4905,0.017,0.994,4,2369,0.017,46.37,3.787
30,1,1,1163,0.013,0.915,3,994,0.012,52.57,0.114
30,1,3,1322,0.016,0.872,7,702,0.015,51.62,0.168
30,1,2,2177,0.02,0.876,5,1141,0.019,48.08,0.104
30,1,1,3472,0.015,0.907,6,201,0.014,60.38,0.088
30,1,3,1370,0.015,0.872,4,242,0.014,58.47,0.065
30,1,3,2940,0.019,0.992,7,1538,0.019,46.37,5.058
30,1,3,1380,0.015,0.978,4,2188,0.015,46.37,1.784
30,1,2,1622,0.016,0.934,7,1532,0.016,47.6,0.235
30,1,1,4068,0.019,0.974,3,1508,0.019,49.31,0.508
30,1,2,4465,0.012,0.946,7,1677,0.011,47.43,0.37
30,1,1,4557,0.019,0.953,3,1373,0.018,53.67,0.295
30,1,2,4472,0.015,0.861,6,828,0.013,51.7,0.122
30,1,1,3890,0.013,0.997,3,1317,0.013,46.37,4.608
30,1,1,4297,0.02,0.962,4,1530,0.02,52.69,0.471
30,1,3,1495,0.013,0.96,5,1985,0.013,46.37,1.055
30,1,2,2430,0.016,0.999,5,1446,0.016,46.37,15.817
30,1,2,3833,0.012,0.857,5,1776,0.01,49.49,0.156
30,1,3,1869,0.018,0.861,5,1464,0.016,49.34,0.239
30,1,2,4566,0.018,0.889,7,1057,0.018,55.15,0.144
30,1,3,1496,0.017,0.92,5,2401,0.016,46.37,0.624
30,1,2,4365,0.018,0.879,4,1179,0.016,51.71,0.155
30,1,1,3992,0.015,0.926,4,1201,0.014,48.44,0.228
30,1,3,2640,0.018,0.894,5,1448,0.016,47.02,0.348
30,1,1,4318,0.013,0.865,3,1241,0.012,55.09,0.091
30,1,1,3349,0.012,0.969,5,1005,0.012,53.51,0.368
30,1,1,2641,0.02,0.861,3,2305,0.019,52.8,0.152
30,1,3,4507,0.013,0.852,3,246,0.012,59.72,0.085
30,1,2,1730,0.017,0.869,4,375,0.015,52.07,0.072
30,1,1,4189,0.012,0.882,7,2132,0.011,49.65,0.21
30,1,3,2238,0.012,0.968,5,1958,0.012,48.44,1.39
30,1,2,1697,0.015,0.887,6,505,0.013,51.6,0.082
30,1,2,2001,0.012,0.883,4,2011,0.011,51.85,0.18
30,1,1,2737,0.013,0.988,5,780,0.013,46.37,0.843
30,1,2,1203,0.018,0.954,6,1274,0.018,51.7,0.319
30,1,3,4893,0.011,0.894,4,344,0.01,56.06,0.107
30,1,3,3702,0.016,0.956,3,1790,0.016,46.37,0.75
30,1,3,1566,0.018,0.963,6,2477,0.018,47.91,1.485
30,1,2,3382,0.013,0.949,5,555,0.012,48.5,0.195
30,1,3,3502,0.012,0.879,5,218,0.011,58.07,0.069
30,1,2,3118,0.013,0.971,4,1041,0.013,48.66,0.443
30,1,2,1861,0.012,0.891,5,1771,0.011,47.91,0.169
30,1,1,1634,0.011,0.856,6,2113,0.01,52.1,0.156
30,1,3,2515,0.019,0.963,5,341,0.019,49.76,0.216
30,1,3,3944,0.019,0.858,6,2476,0.019,47.36,0.438
30,1,2,4147,0.012,0.926,3,1577,0.012,48.84,0.229
30,1,3,2864,0.02,0.883,6,2283,0.019,47.6,0.455
30,1,3,2660,0.01,0.953,6,1708,0.01,47.43,0.902
30,1,3,3573,0.017,0.917,5,676,0.016,52.4,0.196
30,1,3,3554,0.016,0.991,5,313,0.016,46.37,1.067
30,1,2,4189,0.016,0.977,7,1328,0.016,48.67,0.795
30,1,2,2190,0.015,0.982,6,2197,0.015,48.03,1.264
30,1,1,3754,0.012,0.909,7,2460,0.012,52.48,0.271
30,1,1,4896,0.013,0.953,5,2119,0.013,47.02,0.556
30,1,2,3466,0.014,0.918,7,410,0.013,54.51,0.109
30,1,1,4778,0.014,0.899,6,1472,0.014,51.75,0.158
30,1,1,3843,0.02,0.971,4,367,0.02,57.29,0.249
30,1,1,1124,0.015,0.855,7,2234,0.014,56.33,0.146
30,1,3,1939,0.016,0.872,7,1073,0.015,53.17,0.217
30,1,3,3980,0.017,0.97,7,615,0.017,50.22,0.535
30,1,1,3279,0.019,0.948,6,2290,0.019,48.08,0.403
30,1,2,2840,0.02,0.998,5,367,0.02,48.08,2.615
30,1,3,4941,0.013,0.967,4,2337,0.013,46.37,1.449
30,1,2,1054,0.013,0.942,3,1852,0.012,47.53,0.299
30,1,2,1753,0.014,0.961,4,1753,0.013,47.53,0.453
30,1,2,3891,0.016,0.92,6,892,0.016,49.74,0.141
30,1,2,3503,0.014,0.959,3,1914,0.014,49.43,0.463
30,1,3,1281,0.016,0.975,6,687,0.016,51.43,0.659
30,1,3,4284,0.01,0.989,7,711,0.01,47.91,1.991
30,1,2,1091,0.019,0.943,3,1801,0.019,48.49,0.273
30,1,2,2429,0.019,0.987,7,303,0.019,51.74,0.554
30,1,2,4216,0.018,0.865,4,1286,0.016,48.44,0.111
30,1,3,3820,0.014,0.923,6,1628,0.013,47.93,0.523
30,1,2,4520,0.013,0.988,6,321,0.013,50.86,0.523
30,1,2,1958,0.017,0.87,3,1364,0.016,48.58,0.108
30,1,2,1495,0.016,0.97,5,1896,0.016,49.02,0.573
30,1,1,3431,0.012,0.918,5,276,0.012,62.52,0.075
30,1,3,4038,0.014,0.963,3,1722,0.014,48.28,0.863
30,1,2,4929,0.02,0.894,5,1966,0.02,50.52,0.23
30,1,1,2118,0.017,0.93,7,441,0.017,54.75,0.122
30,1,1,4893,0.013,0.863,3,170,0.011,62.1,0.077
30,1,2,4188,0.02,0.878,5,1698,0.018,49.67,0.16
30,1,3,4250,0.011,0.938,3,705,0.011,48.28,0.227
30,1,1,4370,0.017,0.993,3,1121,0.017,48.19,1.742
30,1,2,2268,0.017,0.92,6,1820,0.016,48.32,0.234
30,1,1,4269,0.015,0.974,4,1413,0.015,48.26,0.524
30,1,3,4334,0.015,0.999,3,2177,0.015,46.37,39.5
30,1,2,4132,0.017,0.951,3,125,0.017,52.68,0.112
30,1,2,2587,0.014,0.945,3,999,0.014,49.24,0.187
30,1,1,4391,0.015,0.97,3,1891,0.015,46.37,0.667
30,1,1,2405,0.015,0.96,6,1905,0.015,46.37,0.501
30,1,3,3026,0.012,0.851,6,1076,0.01,53.99,0.184
30,1,1,2773,0.019,0.855,6,2299,0.019,50.55,0.153
30,1,1,3217,0.019,0.866,5,984,0.018,55.12,0.072
30,1,3,1145,0.011,0.863,7,1993,0.01,49.67,0.38
30,1,1,4350,0.019,0.95,7,447,0.019,55.63,0.135
30,1,3,3342,0.019,0.897,4,1219,0.017,48.5,0.217
30,1,2,3570,0.019,0.954,5,963,0.019,50.03,0.23
30,1,1,3277,0.012,0.9,7,887,0.012,55.57,0.119
30,1,2,4640,0.019,0.966,5,2126,0.019,47.36,0.632
30,1,3,4500,0.012,0.994,3,952,0.012,46.37,3.001
30,1,1,2004,0.017,0.864,7,1597,0.017,53.2,0.106
30,1,3,2136,0.013,0.962,4,832,0.013,47.91,0.426
30,1,1,903,0.013,0.906,6,1935,0.013,53.85,0.175
30,1,2,1294,0.015,0.985,3,646,0.015,46.96,0.47
30,1,2,1265,0.012,0.971,3,1084,0.012,50.55,0.352
30,1,1,4220,0.012,0.91,7,2022,0.011,51.04,0.214
30,1,2,4657,0.016,0.978,5,838,0.016,48.59,0.487
30,1,2,3356,0.015,0.999,7,1588,0.015,46.37,18.024
30,1,1,2443,0.012,0.887,3,549,0.012,57.6,0.072
30,1,2,3420,0.016,0.967,5,1392,0.016,48.32,0.454
30,1,2,1355,0.012,0.877,6,1584,0.011,51.67,0.171
30,1,2,1294,0.014,0.87,4,2423,0.012,48.14,0.173
30,1,3,2174,0.014,0.997,7,2422,0.014,46.37,21.042
30,1,3,1259,0.012,0.904,6,318,0.011,55.51,0.107
30,1,3,4429,0.016,0.913,5,1957,0.016,47.91,0.494
30,1,1,4036,0.02,0.883,3,1443,0.018,53.75,0.111
30,1,3,1571,0.01,0.947,3,997,0.01,49.72,0.349
30,1,1,3499,0.011,0.92,3,926,0.011,53.48,0.143
30,1,1,1585,0.014,0.873,6,681,0.013,54.04,0.057
30,1,3,3540,0.018,0.85,3,1878,0.015,48.49,0.243
30,1,3,2457,0.014,0.942,7,1867,0.013,48.09,0.842
30,1,2,3852,0.018,0.927,7,216,0.018,53.69,0.083
30,1,1,2201,0.012,0.942,4,1008,0.012,49.45,0.193
30,1,3,3754,0.017,0.98,7,697,0.017,46.37,0.987
30,1,2,3875,0.013,0.872,7,1511,0.011,49.71,0.142
30,1,3,4573,0.017,0.954,6,1696,0.017,48.44,0.916
30,1,3,2614,0.02,0.976,3,1002,0.02,49.76,0.703
30,1,3,4160,0.016,0.94,4,693,0.016,48.66,0.258
30,1,1,2744,0.016,0.966,6,2280,0.016,51.9,0.607
30,1,1,1239,0.013,0.918,4,2018,0.012,53.0,0.221
30,1,3,4471,0.019,0.965,5,1480,0.018,47.93,0.99
30,1,2,2720,0.019,0.929,7,1743,0.018,48.78,0.303
30,1,1,1845,0.016,0.88,3,966,0.014,54.26,0.093
30,1,1,2317,0.011,0.91,3,620,0.011,48.08,0.08
30,1,2,2213,0.017,0.936,4,1475,0.016,53.05,0.284
